text,label
Jodoh Pasti Bertemu by Afgan ? https://path.com/p/P9deN ,1
"Tapi Om, aku takut sukses, gimana? - Tidak ingin seperti Kak Afgan? Masih muda, sukses, rendah hati. ???",-1
Ujung ujungnya gak jadi jogging karna hujan ? ? Knock Me Out by Afgan (with Tania Desriza) ? https://path.com/p/G8TaK ,-1
"Hay Maret  Wishnya yang baik"" aja deh ?? ? Yang Kutahu Cinta Itu Indah by Afgan (with Raditya) ? https://path.com/p/2owALH ",1
Daripada harus ngeliat pemandangan Afgan BCBan seperti biasanyaaa (*yg gw kira ritual itu udah lenyap? https://instagram.com/p/zqdRGlGj5N/ ,1
"Masih belum bisa move on after KONSER DARI HATI AFGAN semalem, one of my fave song, so heartbreaker? https://instagram.com/p/zqcQhRiGvK/ ",-1
Makasih ya ? ? Terima Kasih Cinta by Afgan ? https://path.com/p/1Xs4Rc ,1
semoga Tuhan membalas semua yang terjadi.... ? Sadis by Afgan ? https://path.com/p/3HuYI7 ,1
"Beranilah dan percaya semua ini pasti berlalu, meski takkan mudah. Namun kau? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/ta11K ",1
Entah by Afgan ? https://path.com/p/LwY6Z ,-1
Punya mimpi tampil di video klip terbaru Afgan? Your dream can come true! Temukan caranya di http://www.hairfashion.me  @sunsilkid #adv.,1
Malming kali ini ditemenin konser dari afgan capsus klik di http://www.useetv.com/livetv/trans7  @afgannisme @Afganisme__INDO,1
Marchandise dari Afgan ini bisa kamu menangkan kalo ikutan #COTM_Afgan. Klik http://bit.ly/COTMafgan  untuk tau cara dapetinnya,1
FYI Afgan tahun ini akan jadi juri tetap XFactor Indonesia otomatis jadi mentor pesertanya juga. Nah siapa dr kalian yg ikut XFactor? ??,1
"Good news ladies! Kali ini, @SunsilkID mau kamu ada di video klipnya Afgan lho. Go check this out: http://www.hairfashion.me/livelymoment/ ",1
"hahaha.. beliau sahabat saya lhoo RT @harie_kecew: afgan yg mirip kak io""@GintangNisyam_F: @mariokacang ka mario ini mirip afgan",1
Belum pernah sedekat ini wawancara dgn Afgan Syahreza. #UpdateBlog @UpdateBlog http://shar.es/1WAN1b  via @sharethis,1
